product_id,product_name,brand,category_name,category_slug,price,original_price,discount_percentage,rating,rating_count,color,delivery_days,occasion,season,material,popularity_score,is_trending
165,Velora Luxe Vintage Maroon Running & Training Shoes,Velora Luxe,Footwear,footwear,2640,6600,60,4.2,318,Maroon,3,Sports,Monsoon,Selvedge Denim,79.3,0
166,SoleCraft Co. Relaxed Fit Black Fragrances & Perfumes,SoleCraft Co.,Beauty,beauty,1660,2214,25,4.6,604,Black,2,Sports,Monsoon,Selvedge Denim,87.8,1
167,Loom & Weave Minimalist Navy Fashion Jewellery,Loom & Weave,Accessories,accessories,3473,4631,25,4.6,343,Navy,3,Casual,Winter,Merino Wool,70.1,1
168,Loom & Weave Structured Beige Trousers & Jeans,Loom & Weave,Women,women,2334,3112,25,4.4,142,Beige,5,Formal,Winter,Velvet Blend,83.3,0
169,Velora Luxe Minimalist Burgundy Jeans & Chinos,Velora Luxe,Men,men,3152,3940,20,4.8,219,Burgundy,2,Loungewear,All Season,Rayon Chiffon,97.7,0
170,Stitch & Stone Tailored Black Sneakers,Stitch & Stone,Footwear,footwear,3233,5389,40,4.1,793,Black,3,Sports,Winter,Genuine Leather,93.5,1
171,Verona Street Boho Burgundy Face Makeup & Blush,Verona Street,Beauty,beauty,1567,2613,40,4.4,156,Burgundy,3,Loungewear,Summer,Merino Wool,92.0,0
172,Stitch & Stone Artisanal Emerald Sunglasses,Stitch & Stone,Accessories,accessories,3857,9644,60,4.0,746,Emerald,5,Wedding,Winter,Mulberry Silk,71.3,1
173,Verona Street Structured Navy Trousers & Jeans,Verona Street,Women,women,999,1998,50,4.3,491,Navy,6,Party,Winter,Merino Wool,90.7,1
174,Aethel Modern Embroidered Black Kurtas,Aethel Modern,Men,men,4897,6997,30,4.6,795,Black,3,Party,Monsoon,Organic Linen,96.2,1
175,Aura & Silk Boho Pink Formal Shoes,Aura & Silk,Footwear,footwear,2108,5270,60,4.1,597,Pink,6,Loungewear,Winter,Velvet Blend,77.4,0
176,Kritika Ethnics Embroidered Maroon Lipsticks & Lip Care,Kritika Ethnics,Beauty,beauty,1040,2081,50,4.7,759,Maroon,2,Party,All Season,Organic Linen,70.8,1
177,Vibe Republic Signature Charcoal Wallets & Belts,Vibe Republic,Accessories,accessories,4965,9930,50,4.8,94,Charcoal,4,Wedding,Winter,Genuine Leather,79.3,0
178,Kritika Ethnics Artisanal Beige Sarees,Kritika Ethnics,Women,women,2773,3698,25,4.1,424,Beige,2,Sports,Monsoon,Mulberry Silk,75.0,1
179,Aethel Modern Relaxed Fit White T-Shirts & Polos,Aethel Modern,Men,men,2662,6655,60,3.8,838,White,2,Loungewear,Winter,Mulberry Silk,65.4,1
180,Aura & Silk Boho Red Running & Training Shoes,Aura & Silk,Footwear,footwear,7844,9805,20,3.8,60,Red,2,Wedding,Summer,Velvet Blend,68.9,0
181,Loom & Weave Minimalist Black Serums & Skincare,Loom & Weave,Beauty,beauty,1263,1579,20,3.9,642,Black,5,Casual,Winter,Merino Wool,66.4,0
182,Stitch & Stone Vintage Emerald Fashion Jewellery,Stitch & Stone,Accessories,accessories,1604,2674,40,4.1,659,Emerald,3,Casual,All Season,Selvedge Denim,90.6,1
183,Aethel Modern Relaxed Fit Beige Sarees,Aethel Modern,Women,women,3316,5527,40,4.2,370,Beige,3,Party,All Season,Organic Linen,75.3,0
184,Aethel Modern Embroidered White Casual Shirts,Aethel Modern,Men,men,751,1878,60,4.3,326,White,4,Formal,Summer,Merino Wool,83.7,0
185,Aura & Silk Urban Black Running & Training Shoes,Aura & Silk,Footwear,footwear,3177,4889,35,4.3,599,Black,3,Casual,Summer,Mulberry Silk,72.7,1
186,Noir Paris Vintage White Face Makeup & Blush,Noir Paris,Beauty,beauty,802,1235,35,4.6,895,White,2,Loungewear,Winter,Merino Wool,86.5,0
187,Vibe Republic Boho Charcoal Watches & Chronos,Vibe Republic,Accessories,accessories,7008,8761,20,4.4,356,Charcoal,3,Party,Winter,Genuine Leather,76.0,0
188,Noir Paris Textured Beige Tops & Tees,Noir Paris,Women,women,1270,3175,60,4.0,197,Beige,5,Casual,All Season,Velvet Blend,88.2,0
189,Urban Thread Bespoke Pink T-Shirts & Polos,Urban Thread,Men,men,3389,5215,35,4.6,109,Pink,2,Party,All Season,Velvet Blend,86.4,1
190,Loom & Weave Signature White Formal Shoes,Loom & Weave,Footwear,footwear,4759,7323,35,4.1,102,White,4,Party,Winter,Selvedge Denim,70.3,0
191,Saffron Studio Structured Charcoal Face Makeup & Blush,Saffron Studio,Beauty,beauty,550,917,40,3.9,131,Charcoal,5,Wedding,Winter,Selvedge Denim,72.7,0
192,Loom & Weave Urban White Wallets & Belts,Loom & Weave,Accessories,accessories,1882,3137,40,4.3,270,White,2,Loungewear,Summer,Rayon Chiffon,75.3,0
193,Aura & Silk Signature Olive Dresses,Aura & Silk,Women,women,3481,5803,40,4.9,854,Olive,5,Wedding,All Season,Organic Linen,69.7,0
194,Vibe Republic Structured Navy Casual Shirts,Vibe Republic,Men,men,4079,6276,35,4.7,660,Navy,2,Formal,Summer,Velvet Blend,70.8,1
195,SoleCraft Co. Minimalist Navy Formal Shoes,SoleCraft Co.,Footwear,footwear,1772,4432,60,4.0,62,Navy,6,Loungewear,All Season,Merino Wool,75.2,0
196,Kritika Ethnics Embroidered Red Fragrances & Perfumes,Kritika Ethnics,Beauty,beauty,841,2104,60,4.6,316,Red,2,Casual,Monsoon,Organic Linen,71.7,1
197,SoleCraft Co. Relaxed Fit Black Fashion Jewellery,SoleCraft Co.,Accessories,accessories,3246,8116,60,4.6,483,Black,6,Wedding,Summer,Organic Linen,83.6,1
198,Verona Street Urban Burgundy Blazers & Jackets,Verona Street,Women,women,2235,4065,45,4.8,94,Burgundy,3,Party,Summer,Merino Wool,94.9,0
199,Kritika Ethnics Tailored Emerald T-Shirts & Polos,Kritika Ethnics,Men,men,3559,5085,30,4.6,169,Emerald,2,Sports,Summer,Velvet Blend,73.1,0
200,Urban Thread Artisanal Charcoal Heels & Pumps,Urban Thread,Footwear,footwear,2688,6722,60,4.9,86,Charcoal,2,Loungewear,Summer,Organic Linen,85.1,0
201,Loom & Weave Relaxed Fit White Fragrances & Perfumes,Loom & Weave,Beauty,beauty,1276,3190,60,4.1,804,White,5,Wedding,Monsoon,Merino Wool,70.3,0
202,Kritika Ethnics Signature Black Handbags & Totes,Kritika Ethnics,Accessories,accessories,4758,6345,25,3.9,702,Black,2,Loungewear,All Season,Merino Wool,86.1,0
203,Noir Paris Artisanal Black Blazers & Jackets,Noir Paris,Women,women,1542,3857,60,4.5,139,Black,5,Sports,Monsoon,Rayon Chiffon,70.6,1
204,SoleCraft Co. Boho White Jackets & Hoodies,SoleCraft Co.,Men,men,2438,4434,45,4.0,349,White,3,Sports,Winter,Selvedge Denim,78.4,1
205,Aethel Modern Bespoke White Loafers & Flats,Aethel Modern,Footwear,footwear,4596,6129,25,4.6,264,White,3,Sports,Winter,Selvedge Denim,67.0,0
206,Saffron Studio Urban Red Lipsticks & Lip Care,Saffron Studio,Beauty,beauty,852,2130,60,3.9,789,Red,2,Sports,All Season,Mulberry Silk,87.1,0
207,Verona Street Vintage Lavender Handbags & Totes,Verona Street,Accessories,accessories,3577,4472,20,4.1,911,Lavender,2,Formal,Monsoon,Velvet Blend,97.1,0
208,SoleCraft Co. Embroidered Burgundy Tops & Tees,SoleCraft Co.,Women,women,1103,1577,30,4.7,850,Burgundy,5,Formal,All Season,Selvedge Denim,75.6,0
209,Verona Street Textured Olive T-Shirts & Polos,Verona Street,Men,men,4237,5297,20,4.0,265,Olive,4,Loungewear,Summer,Rayon Chiffon,74.8,1
210,Aethel Modern Relaxed Fit Pink Sneakers,Aethel Modern,Footwear,footwear,4723,6748,30,4.0,251,Pink,4,Casual,All Season,Genuine Leather,66.5,1
211,Velora Luxe Structured Olive Lipsticks & Lip Care,Velora Luxe,Beauty,beauty,1684,2406,30,4.7,875,Olive,2,Wedding,All Season,Genuine Leather,80.8,0
212,Aura & Silk Vintage Navy Fashion Jewellery,Aura & Silk,Accessories,accessories,2589,4708,45,4.0,468,Navy,2,Wedding,Summer,Velvet Blend,74.0,0
213,Velora Luxe Relaxed Fit Emerald Dresses,Velora Luxe,Women,women,1829,4573,60,4.0,434,Emerald,2,Wedding,Winter,Rayon Chiffon,75.4,0
214,Aethel Modern Embroidered Charcoal Kurtas,Aethel Modern,Men,men,2312,3558,35,4.9,306,Charcoal,5,Wedding,Summer,Velvet Blend,82.4,0
215,Loom & Weave Urban Beige Formal Shoes,Loom & Weave,Footwear,footwear,4700,9400,50,4.8,939,Beige,3,Party,Winter,Genuine Leather,89.8,0
216,Velora Luxe Embroidered Red Fragrances & Perfumes,Velora Luxe,Beauty,beauty,1899,2374,20,3.8,794,Red,4,Sports,All Season,Merino Wool,69.5,0
217,Loom & Weave Vintage Charcoal Watches & Chronos,Loom & Weave,Accessories,accessories,2717,4529,40,4.7,223,Charcoal,3,Casual,All Season,Organic Linen,66.5,0
218,Aethel Modern Relaxed Fit Pink Tops & Tees,Aethel Modern,Women,women,1244,1778,30,4.5,937,Pink,3,Formal,Summer,100% Cotton,82.6,0
219,SoleCraft Co. Embroidered Lavender Jeans & Chinos,SoleCraft Co.,Men,men,894,1788,50,3.8,61,Lavender,2,Loungewear,All Season,Genuine Leather,78.6,0
220,Aura & Silk Relaxed Fit White Loafers & Flats,Aura & Silk,Footwear,footwear,6188,9520,35,4.2,151,White,2,Party,All Season,Velvet Blend,78.2,0
221,Aura & Silk Signature Beige Lipsticks & Lip Care,Aura & Silk,Beauty,beauty,2279,3507,35,4.7,361,Beige,4,Party,Summer,Genuine Leather,69.1,1
222,Urban Thread Embroidered Red Fashion Jewellery,Urban Thread,Accessories,accessories,4992,9985,50,3.9,392,Red,2,Formal,Winter,Mulberry Silk,70.0,0
223,Kritika Ethnics Textured Olive Tops & Tees,Kritika Ethnics,Women,women,2172,3104,30,4.4,293,Olive,6,Wedding,Summer,Genuine Leather,83.6,0
224,Noir Paris Vintage Black Jackets & Hoodies,Noir Paris,Men,men,1179,2948,60,3.9,340,Black,2,Formal,Monsoon,Merino Wool,81.8,0
225,Verona Street Boho Navy Formal Shoes,Verona Street,Footwear,footwear,5816,8948,35,4.5,692,Navy,2,Wedding,Monsoon,Selvedge Denim,73.2,1
226,Aethel Modern Boho Charcoal Fragrances & Perfumes,Aethel Modern,Beauty,beauty,2279,3039,25,3.8,673,Charcoal,2,Casual,Summer,Genuine Leather,87.1,0
227,Noir Paris Tailored Charcoal Fashion Jewellery,Noir Paris,Accessories,accessories,5596,7995,30,4.1,72,Charcoal,2,Wedding,All Season,Selvedge Denim,93.4,1
228,Kritika Ethnics Boho Beige Dresses,Kritika Ethnics,Women,women,1389,3473,60,3.9,617,Beige,3,Casual,Winter,Rayon Chiffon,88.4,0
229,Vibe Republic Tailored Pink Formal Shirts,Vibe Republic,Men,men,1251,3129,60,4.4,676,Pink,3,Formal,Monsoon,Rayon Chiffon,92.6,0
230,Verona Street Bespoke Charcoal Loafers & Flats,Verona Street,Footwear,footwear,4304,8609,50,4.8,217,Charcoal,4,Sports,Monsoon,Selvedge Denim,89.5,0
231,Stitch & Stone Textured Red Fragrances & Perfumes,Stitch & Stone,Beauty,beauty,1018,1455,30,4.0,727,Red,5,Wedding,Winter,Genuine Leather,67.5,0
232,Aethel Modern Bespoke Navy Fashion Jewellery,Aethel Modern,Accessories,accessories,3041,6083,50,4.4,371,Navy,4,Loungewear,Winter,Rayon Chiffon,83.8,0
233,Saffron Studio Artisanal Navy Trousers & Jeans,Saffron Studio,Women,women,3008,4011,25,3.9,798,Navy,3,Wedding,Winter,100% Cotton,85.1,0
234,Vibe Republic Tailored Red Casual Shirts,Vibe Republic,Men,men,3777,6296,40,4.7,676,Red,4,Wedding,All Season,Merino Wool,76.6,0
235,Stitch & Stone Vintage White Running & Training Shoes,Stitch & Stone,Footwear,footwear,1875,4688,60,4.4,221,White,4,Party,Summer,Mulberry Silk,83.7,0
236,Loom & Weave Structured Emerald Serums & Skincare,Loom & Weave,Beauty,beauty,743,929,20,4.2,934,Emerald,3,Loungewear,Winter,Genuine Leather,73.8,0
237,Verona Street Minimalist Maroon Handbags & Totes,Verona Street,Accessories,accessories,5842,9738,40,4.0,595,Maroon,2,Loungewear,Monsoon,Genuine Leather,92.3,0
238,Velora Luxe Boho Emerald Trousers & Jeans,Velora Luxe,Women,women,3421,5264,35,4.3,862,Emerald,6,Casual,All Season,Organic Linen,73.3,0
239,Stitch & Stone Signature Navy Casual Shirts,Stitch & Stone,Men,men,3471,5341,35,4.9,184,Navy,3,Formal,All Season,100% Cotton,71.3,0
240,Vibe Republic Textured Beige Formal Shoes,Vibe Republic,Footwear,footwear,5450,7786,30,3.8,238,Beige,3,Party,Summer,Genuine Leather,90.9,0
241,Aethel Modern Embroidered Beige Face Makeup & Blush,Aethel Modern,Beauty,beauty,956,1739,45,4.7,787,Beige,4,Sports,Summer,Merino Wool,91.1,1
242,Noir Paris Signature Beige Sunglasses,Noir Paris,Accessories,accessories,5322,7096,25,4.5,850,Beige,4,Party,Winter,Selvedge Denim,71.7,0
243,Aura & Silk Boho Olive Trousers & Jeans,Aura & Silk,Women,women,3282,4689,30,4.9,218,Olive,4,Wedding,All Season,Rayon Chiffon,83.4,1
244,Aethel Modern Minimalist Pink Jeans & Chinos,Aethel Modern,Men,men,3090,6180,50,3.9,491,Pink,2,Party,Winter,Mulberry Silk,68.2,1
245,Kritika Ethnics Embroidered Burgundy Loafers & Flats,Kritika Ethnics,Footwear,footwear,5659,8707,35,4.1,924,Burgundy,2,Wedding,Summer,Rayon Chiffon,89.6,0
246,Kritika Ethnics Embroidered Olive Fragrances & Perfumes,Kritika Ethnics,Beauty,beauty,1564,2845,45,4.9,317,Olive,2,Wedding,All Season,Velvet Blend,67.7,0
247,Aura & Silk Tailored Red Fashion Jewellery,Aura & Silk,Accessories,accessories,1728,3142,45,4.0,935,Red,2,Formal,Winter,100% Cotton,85.7,0
